단어,의미,장르,예문
유입,바깥에서 안으로 흘러 들어옴,경제 및 경영,"해외 투자 자본의 유입이 증가하면서 국내 경제가 활성화되었다."
상쇄,서로 영향을 없애거나 줄임,경제 및 경영,"원자재 가격 상승이 매출 증가 효과를 상쇄시켰다."
분기,일 년을 4등분 한 3개월씩의 기간,경제 및 경영,"1분기 실적이 예상보다 좋아 주가가 상승했다."
자수성가,물려받은 재산이 없어 자기 혼자의 힘으로 집안을 일으키고 재산을 모음,경제 및 경영,"그는 자수성가로 대기업을 일군 성공한 기업가이다."
유동성,형편이나 경우에 따라 이리저리 변동될 수 있는 성질,경제 및 경영,"금융 시장의 유동성이 부족해 자금 조달이 어려워졌다."
통화 유통,수단이나 지불 수단으로서 유통되는 화폐,경제 및 경영,"중앙은행은 통화 유통량을 조절하여 물가를 안정시킨다."
병목 현상,도로의 폭이 병목처럼 갑자기 좁아진 곳에서 일어나는 교통 정체 현상,경제 및 경영,"반도체 부족으로 인한 병목 현상이 자동차 생산에 차질을 빚었다."
내수,국내의 수요,경제 및 경영,"내수 진작을 위해 정부가 소비 촉진 정책을 발표했다."
금리,이자율,경제 및 경영,"한국은행이 기준금리를 0.25%포인트 인상했다."
통화,화폐,경제 및 경영,"미국 달러는 국제 거래에서 기축통화 역할을 한다."
재화,경제적 가치가 있는 물건,경제 및 경영,"경제학에서는 재화와 서비스의 교환이 시장의 기본 원리다."
채권,채무를 증명하는 증서,경제 및 경영,"국채는 정부가 발행하는 가장 안전한 채권으로 여겨진다."
단행하다,과감히 실행하다,경제 및 경영,"회사는 구조조정을 단행하여 경영 효율성을 높였다."
저해하다,방해하다,경제 및 경영,"과도한 규제가 기업의 투자를 저해하고 있다."
극복,어려움을 이겨냄,경제 및 경영,"경제 위기를 극복하기 위해 정부와 기업이 협력했다."
공리주의,최대 다수의 최대 행복을 도덕 기준으로 삼는 사상,경제 및 경영,"공리주의적 관점에서 볼 때 이 정책은 사회 전체의 이익을 증진시킨다."
효용,어떤 대상이 사람에게 주는 만족감 또는 쓸모,경제 및 경영,"소비자는 효용을 최대화하는 방향으로 선택한다."
질적 쾌락주의,"쾌락에도 수준이 있으며, 정신적 쾌락이 육체적 쾌락보다 우수하다는 주장",경제 및 경영,"밀의 질적 쾌락주의는 단순한 양적 계산을 넘어선 가치 판단을 제시한다."
내적 제재,"양심과 같은, 스스로를 통제하는 내면의 규제 수단",경제 및 경영,"기업의 윤리 경영은 외적 제재보다 내적 제재에 의해 더 효과적으로 실현된다."
외적 제재,법이나 사회 규범 등 외부에서 오는 규제 수단,경제 및 경영,"금융 당국의 외적 제재가 강화되면서 은행들의 리스크 관리가 개선되었다."
한계 효용,어떤 재화를 한 단위 더 소비했을 때 추가로 얻는 만족감,경제 및 경영,"아이스크림을 많이 먹을수록 한계 효용은 감소한다."
체감의 법칙,재화를 더 소비할수록 얻는 효용이 점점 줄어든다는 이론,경제 및 경영,"체감의 법칙에 따르면 소득이 증가할수록 추가 소득의 만족도는 감소한다."
누진세,소득이 높을수록 세율이 더 높아지는 세금 제도,경제 및 경영,"누진세 제도는 소득 재분배 효과를 통해 사회적 불평등을 완화한다."
객지,본래 살던 곳이 아닌 다른 지역,경제 및 경영,"객지에서 사업을 시작하기란 쉽지 않았다."
애상,슬프고 안타까운 감정,경제 및 경영,"회사의 부도 소식에 직원들은 애상에 빠졌다."
연쇄적인,사물이나 현상이 사슬처럼 연결된 상태,과학,"한 기업의 부도가 연쇄적인 도산을 불러왔다."
기인하다,원인으로 일어나다,과학,"이 현상은 기후 변화에 기인한 것으로 보인다."
항원,면역 반응을 일으키는 물질,과학,"백신은 약화된 항원을 몸에 주입하여 면역력을 기른다."
시료,시험용으로 쓰는 재료,과학,"실험에 사용할 혈액 시료를 채취했다."
피사체,사진이나 영상의 대상,과학,"카메라의 초점을 피사체에 정확히 맞추었다."
홍진,"속세, 인간 세상, 번거롭고 어지러운 세상",과학,"홍진을 떠나 조용한 산속에서 연구에 몰두했다."
소거,없애서 완전히 지워 버림,과학,"실험 오차를 소거하기 위해 여러 번 측정했다."
시료,"시험, 검사, 분석 등에 쓰는 물질이나 생물",과학,"DNA 분석을 위해 모발 시료를 채취했다."
관철되다,끝까지 이루어지다,국어학 및 언어학,"그의 주장이 마침내 관철되었다."
유보하다,보류하다,국어학 및 언어학,"결정을 유보하고 더 검토해보기로 했다."
모음 조화,모음끼리 조화를 이루는 현상,국어학 및 언어학,"한국어의 모음 조화는 중세 국어에서 더 엄격하게 지켜졌다."
미지칭,아직 알려지지 않은 대상을 가리키는 말,국어학 및 언어학,"'누군가'는 미지칭을 나타내는 대명사이다."
상보적,서로 보완하여 전체를 이룸,국어학 및 언어학,"언어의 구조와 기능은 상보적 관계에 있다."
함의하다,속에 뜻을 포함하다,국어학 및 언어학,"이 문장은 화자의 불만을 함의하고 있다."
수사 의문문,답을 요구하지 않는 의문문,국어학 및 언어학,"'이게 말이 되나?'는 수사 의문문의 예이다."
편협하다,생각이 좁다,국어학 및 언어학,"편협한 사고로는 언어의 다양성을 이해할 수 없다."
수미상관,처음과 끝을 같거나 비슷하게 하여 서로 관련을 맺음,국어학 및 언어학,"이 시는 수미상관 구조로 되어 있어 통일감을 준다."
반포지효,"까마귀 새끼가 자라서 늙은 어미에게 먹이를 물어다 주는 효라는 뜻으로, 자식이 자란 후에 어버이의 은혜를 갚는 효성을 이르는 말",국어학 및 언어학,"반포지효의 마음으로 부모님을 섬겨야 한다."
담화,"이야기, 대화",문학 및 수사학,"두 사람의 담화를 녹음하여 분석했다."
동조하다,뜻을 같이하다,문학 및 수사학,"그의 의견에 동조하는 사람들이 늘어났다."
명시하다,분명히 드러내어 보이다,문학 및 수사학,"계약서에 조건을 명시해야 한다."
관념,어떤 사물에 대한 일반적인 생각이나 견해,문학 및 수사학,"그는 낡은 관념에 얽매여 있다."
함축,겉으로 드러나지 않고 속에 간직함,문학 및 수사학,"이 작품은 깊은 의미를 함축하고 있다."
산문,운율에 얽매이지 않고 자유롭게 기술하는 문체,문학 및 수사학,"그의 산문은 시적 아름다움을 지니고 있다."
동경,간절히 그리워하여 계속 생각함,문학 및 수사학,"그는 고향을 동경하며 살았다."
흥취,흥미와 취미를 아우르는 말,문학 및 수사학,"자연 속에서 흥취를 느끼며 시를 썼다."
기약,일을 하기로 미리 정한 약속,문학 및 수사학,"재회를 기약하며 헤어졌다."
지향,어떤 목표를 향함,문학 및 수사학,"그의 문학은 현실 참여를 지향한다."
향가,향찰로 표기된 우리 고유의 시가,문학 및 수사학,"향가는 신라 시대의 대표적인 문학 갈래이다."
한시,한자로 지은 시,문학 및 수사학,"조선 시대 문인들은 한시 창작에 뛰어났다."
유기적,각 부분이 밀접하게 연결된 상태,문학 및 수사학,"이 작품의 구성은 매우 유기적이다."
상충하다,서로 맞부딪치거나 모순됨,문학 및 수사학,"두 이론이 상충하여 논쟁이 벌어졌다."
단출하다,복잡하지 않고 간단함,문학 및 수사학,"그의 문체는 단출하면서도 힘이 있다."
설화,옛날부터 전해 내려오는 이야기,문학 및 수사학,"단군 신화는 우리나라의 대표적인 설화이다."
겸연쩍다,쑥스럽고 어색함,문학 및 수사학,"칭찬을 받고 겸연쩍어했다."
인색하다,아낌이 지나침,문학 및 수사학,"그는 칭찬에 인색한 사람이다."
희곡,무대 상연을 위한 극 형식의 문학,문학 및 수사학,"셰익스피어의 희곡은 세계적으로 사랑받고 있다."
딜옹배기,아가리가 벌어진 작은 질그릇 (평안도 방언),문학 및 수사학,"할머니는 딜옹배기에 물을 떠주셨다."
북덕불,"짚, 풀 등을 뭉쳐 피운 불 (평안도 방언)",문학 및 수사학,"추운 겨울 밤, 북덕불을 피워 몸을 녹였다."
방점,옛 한글에서 성조를 나타내던 점,문학 및 수사학,"훈민정음 초기에는 방점으로 성조를 표시했다."
언중,언어를 쓰는 사람들,문학 및 수사학,"언중의 언어 사용이 변화하면서 문법도 바뀐다."
추이,변화해 나감,문학 및 수사학,"시대의 추이에 따라 문학의 경향도 달라진다."
모조,어떤 대상을 본떠서 흉내 내어 그와 비슷하게 만든 것,문학 및 수사학,"이것은 명화의 모조품이다."
모사,다른 대상을 본떠서 흉내 내거나 그려 냄,문학 및 수사학,"화가가 풍경을 사실적으로 모사했다."
전유,(1) 혼자 차지하여 마음대로 씀(2) 다른 사람의 것을 빼앗음,문학 및 수사학,"그는 공공재산을 전유하여 처벌받았다."
은유,직접 드러내지 않고 다른 사물에 빗대어 표현하는 비유법,문학 및 수사학,"'인생은 여행이다'는 은유적 표현이다."
환유,"수사법의 하나로, 속성이나 연관된 것을 통해 본래의 것을 나타냄",문학 및 수사학,"'펜은 칼보다 강하다'에서 펜은 글을 의미하는 환유이다."
레토릭,"수사학, 말이나 글로 상대의 마음을 움직이는 기교",문학 및 수사학,"정치인의 연설에는 효과적인 레토릭이 사용된다."
재현,다시 나타내거나 보여 줌,문학 및 수사학,"영화는 역사적 사건을 재현한다."
상호텍스트성,텍스트들이 서로 참조하며 의미를 형성하는 성질,문학 및 수사학,"이 작품은 다른 작품과의 상호텍스트성을 보여준다."
질박하다,꾸밈이 없고 소박하다,문학 및 수사학,"그의 문체는 질박하면서도 진실함이 있다."
동화,서로 다른 것이 닮아 같아지거나 한쪽이 다른 쪽에 흡수되어 같아짐,문학 및 수사학,"이민자들이 현지 문화에 동화되었다."
내로라하다,어떤 분야에서 능력이 있거나 이름이 있다고 자부하다,문학 및 수사학,"그는 내로라하는 문학가이다."
침잠,깊이 가라앉거나 숨어 있음 또는 감정이나 생각이 겉으로 드러나지 않음,문학 및 수사학,"그는 슬픔에 침잠해 있었다."
척도,사물의 정도나 가치를 재는 기준,문학 및 수사학,"성공의 척도는 사람마다 다르다."
전전반측,누워서 몸을 이리저리 뒤척이며 잠을 이루지 못함,문학 및 수사학,"시험을 앞두고 전전반측했다."
고두사죄,머리를 조아리며 잘못을 빎,문학 및 수사학,"그는 고두사죄하며 용서를 빌었다."
비육지탄,재능을 발휘할 때를 얻지 못하여 헛되이 세상에만 보내는 것을 한탄함,문학 및 수사학,"재능 있는 젊은이들이 비육지탄을 하고 있다."
백골난망,남에게 큰 은덕을 입었을 때 고마움의 뜻을 이르는 말,문학 및 수사학,"선생님의 은혜는 백골난망이다."
괄목상대,남의 학식이나 재주가 놀랄 만큼 부쩍 늘었음을 이르는 말,문학 및 수사학,"그의 실력이 괄목상대할 정도로 늘었다."
백년가약,젊은 남녀가 부부가 되어 평생을 함께할 것을 굳게 다짐하는 아름다운 언약,문학 및 수사학,"두 사람은 백년가약을 맺었다."
가약,아름다운 약속,문학 및 수사학,"두 사람 사이의 가약이 이루어졌다."
각설,말이나 글 등에서 이제까지 다루던 내용을 그만두고 화제를 돌림,문학 및 수사학,"각설하고 다른 이야기를 해보자."
허구적,사실에 없는 일을 사실처럼 꾸며 만드는 성질을 띤 것,문학 및 수사학,"소설은 허구적 서사를 통해 진실을 드러낸다."
붕우유신,친구 사이의 도리는 믿음에 있음을 이르는 말,문학 및 수사학,"붕우유신의 정신으로 친구를 대해야 한다."
경외감,공격하면서 두려워하는 감정,문학 및 수사학,"자연에 대한 경외감을 잃지 말아야 한다."
오매불망,자나깨나 잊지 못함,문학 및 수사학,"고향을 오매불망 그리워했다."
실태,있는 그대로의 상태,문학 및 수사학,"사회의 실태를 정확히 파악해야 한다."
편향,한쪽으로 치우침,문학 및 수사학,"편향된 시각으로는 진실을 볼 수 없다."
객체,주체가 하는 행위의 대상이 되는 것,문학 및 수사학,"이 문장에서 '책'은 객체이다."
추상,여러 가지 사물이나 개념에서 공통되는 특성이나 속성 등을 추출하여 파악하는 작용,문학 및 수사학,"추상적 개념을 구체적으로 설명하기 어렵다."
단사표음,청빈하고 소박한 생활을 이르는 말,문학 및 수사학,"선비는 단사표음의 생활을 했다."
성현,"성인과 현인, 도덕적으로 뛰어난 사람",문학 및 수사학,"성현의 가르침을 따르고자 한다."
자조하다,스스로를 비웃다,문학 및 수사학,"그는 자신의 실수를 자조했다."
관조적,사물이나 현상을 고요히 관찰하여 본질을 꿰뚫어봄,문학 및 수사학,"시인은 관조적 태도로 세상을 바라본다."
세간,세상 또는 집안의 살림살이,문화·예술,"세간에 떠도는 소문을 듣고 놀랐다."
고안되다,생각해 내어 만들어지다,문화·예술,"새로운 교육 방법이 고안되었다."
준언어,"말 이외의 의사소통 수단(억양, 표정 등)",문화·예술,"준언어적 표현이 의사소통에 중요한 역할을 한다."
객지,자기 고향이 아닌 곳,문화·예술,"객지 생활의 외로움을 달래기 위해 음악을 들었다."
표상하다,어떤 뜻이나 생각을 구체적 형상으로 나타내다,문화·예술,"조각가는 평화를 표상하는 작품을 만들었다."
주렴,구슬로 만든 발,문화·예술,"궁궐의 주렴이 바람에 살랑거렸다."
귀양,죄를 지은 사람을 먼 곳으로 보내는 형벌,문화·예술,"정치적 이유로 귀양을 가게 되었다."
심복,마음속을 터놓고 믿는 사람,문화·예술,"왕은 심복에게 중요한 일을 맡겼다."
도술,"신비로운 재주, 도인의 기술",문화·예술,"전설 속 도사는 뛰어난 도술을 부렸다."
대용 표현,다른 말로 바꾸어 나타내다,문화·예술,"'그분'은 높은 사람에 대한 대용 표현이다."
열람하다,책이나 자료를 보다,문화·예술,"도서관에서 고전 문헌을 열람했다."
호걸,호쾌하고 뛰어난 인물,문화·예술,"그는 시대의 호걸로 불렸다."
빈천,가난하고 천함,문화·예술,"빈천한 출신이지만 노력으로 성공했다."
포스트모더니즘,근대주의 이후 탈이성중심주의적 사고를 표명하는 철학적 사조,문화·예술,"포스트모더니즘은 현대 예술에 큰 영향을 끼쳤다."
미학,자연이나 인생 및 예술 등에 담긴 미의 본질과 구조를 해명하는 학문,문화·예술,"미학적 관점에서 이 작품을 분석해보자."
회화적,그림의 성격을 띠는 또는 그런,문화·예술,"이 소설은 회화적 묘사가 뛰어나다."
음풍농월,맑은 바람과 밝은 달을 대상으로 시를 짓고 흥취를 자아내어 즐겁게 놂,문화·예술,"선비들은 음풍농월을 즐겼다."
영상,빛의 굴절이나 반사 등에 의하여 이루어진 물체의 상,문화·예술,"거울에 비친 영상이 흐릿하다."
장막,한데에서 볕 또는 비바람을 피할 수 있도록 둘러치는 막,문화·예술,"무대에 장막이 내려졌다."
섬섬옥수,가냘프고 고운 손을 이르는 말,문화·예술,"그녀의 섬섬옥수가 피아노 건반을 누르고 있다."
형태소,"뜻을 가진 가장 작은 말의 단위, 이야기책의 이야기, 책 등",문화·예술,"'학교에서'는 두 개의 형태소로 나뉜다."
계교,꾀와 계책,법학 및 정치,"그는 교묘한 계교로 상대를 속였다."
만조백관,조정에 가득한 모든 벼슬아치,법학 및 정치,"만조백관이 왕 앞에 나아갔다."
완화,심한 정도를 누그러뜨림,법학 및 정치,"정부는 규제를 완화하기로 했다."
장려,어떤 행동을 하도록 북돋움,법학 및 정치,"창업을 장려하는 정책이 시행되었다."
정치적,"권력, 정책, 정부 등과 관련된 것",법학 및 정치,"이 문제는 정치적 해결이 필요하다."
권리의식,자신의 권리를 인식하고 이를 주장하는 태도,법학 및 정치,"시민들의 권리의식이 높아졌다."
평등주의,모든 사람이 평등해야 한다는 사상,법학 및 정치,"평등주의는 민주주의의 기본 원리이다."
인권,사람으로서 마땅히 누려야 할 권리,법학 및 정치,"인권 침해에 대한 감시가 강화되었다."
대안,기존의 것에 대신할 수 있는 새로운 방안,법학 및 정치,"현재 상황에 대한 대안을 찾아야 한다."
방안,어떤 일을 처리하거나 해결하기 위해 세운 계획이나 방법,법학 및 정치,"경제 활성화 방안이 발표되었다."
방략,어떤 목적을 이루기 위한 계책이나 방편,법학 및 정치,"외교적 방략을 통해 갈등을 해결했다."
절충,서로 대립되는 의견이나 제도를 중간에서 조정하여 타협함,법학 및 정치,"양측의 의견을 절충하여 합의에 도달했다."
은폐,숨겨서 겉으로 드러나지 않게 함,법학 및 정치,"진실을 은폐하려는 시도가 발각되었다."
협의,어떤 일에 대해 서로 의논함,법학 및 정치,"관련 부처 간 협의가 필요하다."
실정,실제의 사정이나 정세,법학 및 정치,"현장의 실정을 파악하고 정책을 수립해야 한다."
경세론,나라를 다스리고 경영하는 일에 관해 논리적으로 일반화한 체계,법학 및 정치,"조선 후기 실학자들은 경세론을 발전시켰다."
공시,일정한 내용을 공개적으로 게시하여 일반에게 널리 알림 또는 그런 글,법학 및 정치,"신규 채용 공시가 발표되었다."
공포,"이미 확정된 법률, 조약, 명령 등을 일반 국민에게 널리 알리는 일",법학 및 정치,"새로운 법률이 관보에 공포되었다."
시정,잘못된 것을 바로잡음,법학 및 정치,"행정기관의 위법행위에 대한 시정을 요구했다."
주권,국가의 의사를 최종적으로 결정하는 권력,법학 및 정치,"국민 주권의 원리에 따라 정치가 이루어져야 한다."
해지권,계약 당사자의 한쪽이 계약을 해지할 수 있는 권리,법학 및 정치,"임대차 계약의 해지권을 행사했다."
급부,"법률상에서 채권의 목적이 되는, 채무자가 하여야 할 행위",법학 및 정치,"계약에 따른 급부 의무를 이행해야 한다."
책망,잘못을 꾸짖거나 나무라며 못마땅하게 여김,법학 및 정치,"공무원의 부적절한 행동에 대해 책망했다."
세부,자세한 부분,법학 및 정치,"정책의 세부 사항을 검토해야 한다."
위엄,존경할 만한 위세가 있어 점잖고 엄숙함,법학 및 정치,"법정의 위엄을 지켜야 한다."
절충안,두 가지 이상의 안을 서로 보충하여 알맞게 조절한 안,법학 및 정치,"양당이 절충안을 마련했다."
인과성,원인과 결과의 관계,사회학 및 심리학,"범죄와 사회 환경 사이의 인과성을 연구했다."
교란하다,흔들어 어지럽히다,사회학 및 심리학,"허위 정보가 여론을 교란하고 있다."
메타버스,가상 세계,사회학 및 심리학,"메타버스에서 새로운 사회적 관계가 형성되고 있다."
야기하다,일으키다,사회학 및 심리학,"이 사건이 큰 논란을 야기했다."
소원하다,멀어지다,사회학 및 심리학,"친구들과 소원해진 것이 안타깝다."
성금,정성으로 모은 기부금,사회학 및 심리학,"재해 지역을 위한 성금이 모였다."
함의,겉에 드러나지 않은 숨겨진 의미,사회학 및 심리학,"그의 말에는 깊은 함의가 담겨 있다."
노출,겉으로 드러나게 함,사회학 및 심리학,"개인정보 노출 사건이 발생했다."
주입,억지로 넣음,사회학 및 심리학,"일방적인 지식 주입보다는 토론이 효과적이다."
유동,일정하지 않고 자주 움직임,사회학 및 심리학,"현대 사회는 유동적 특성을 보인다."
